ID,Country,health_sys_id,Health system name,Health system city,Health system State,Health system StateName,Total N of physicians,Total N of nurse practitioners,Total N of physician assistants,Total N of outpatient centers,Total N of hospitals,Total N of system-affiliated nursing homes,Multistate system flag0,Multistate system flag,N of beds per system,N of discharges per system,Degree to which health systems serves children0,Degree to which health systems serves children,Systemwide teaching intensity0,Systemwide teaching intensity,System MA plan enrollment,System ownership type0,System ownership type,Hospital Net Revenue,Hospital Total Revenue,in_onekey,in_aha,onekey_id,aha_sysid,prim_care_mds,acutehosp_cnt,sys_res,sys_incl_majteachhosp,sys_incl_vmajteachhosp,sys_incl_highdpphosp,sys_highucburden,sys_incl_highuchosp,sys_anyins_product,sys_mcare_adv,sys_mcaid_mngcare,sys_healthins_mktplc,sys_ma_plan_contracts
1,US,HSI00000492,HCA Healthcare,Nashville,TN,Tennessee,14232,5265,2634,1953,184,8,3,system hospitals located in 3 or more states,37478,1891312,0,no children’s hospitals,1,minor teaching,192,5,for-profit/investor owned,48444256449,4.12743E+11,1,1,17773631,0048,4295,167,4274.4,1,0,1,1,1,0,0,0,0,H6846
2,US,HSI00001427,CommonSpirit Health,Chicago,IL,Illinois,15019,3335,1986,1541,147,23,3,system hospitals located in 3 or more states,17107,768883,0,no children’s hospitals,1,minor teaching,171,2,church-operated,28133761083,1.30475E+11,1,1,24989165,0948,4930,136,1337.41,1,0,1,0,1,1,1,1,1,H7195
3,US,HSI00001066,Tenet Healthcare,Dallas,TX,Texas,6514,1681,925,1068,74,2,3,system hospitals located in 3 or more states,12690,508011,1,at least one children’s hospital but not predominantly delivering care at children’s hospitals,1,minor teaching,0,5,for-profit/investor owned,13886420286,1.16643E+11,1,1,17774121,0919,1360,57,1474.77,1,1,1,0,1,1,0,0,0,
4,US,HSI00000249,Community Health Systems,Franklin,TN,Tennessee,3879,1659,562,982,82,6,3,system hospitals located in 3 or more states,10077,409477,0,no children’s hospitals,1,minor teaching,0,5,for-profit/investor owned,11027601435,90819527502,1,1,17773305,0080,1399,77,896.58,1,1,1,0,1,1,0,1,0,
5,US,HSI00000055,Ascension Health,Saint Louis,MO,Missouri,10724,4043,1720,2053,119,31,3,system hospitals located in 3 or more states,16103,691405,1,at least one children’s hospital but not predominantly delivering care at children’s hospitals,1,minor teaching,122617,2,church-operated,22327082185,89432505916,1,1,17773929,0198,4350,104,2466.11,1,1,1,0,1,1,1,1,1,H0482; H1181; H1518; H1714; H1774; H2853; H3755; H4198; H4343; H4402; H5215; H5398; H5644; H6678; H6830; H7399; H7512; H7556; H7925; H8121; H8225; H8769; H9357
6,US,HSI00000536,Kaiser Permanente,Oakland,CA,California,25352,2007,1815,691,41,10,3,system hospitals located in 3 or more states,9217,436895,0,no children’s hospitals,1,minor teaching,1841675,1,nonprofit,22065542810,74510398575,1,1,17773641,2105,11390,40,1047.19,1,0,0,0,1,1,1,1,1,H0524; H0630; H1170; H1230; H2172; H5050; H9003
7,US,HSI00001106,Trinity Health,Livonia,MI,Michigan,12026,3795,2528,1710,102,34,3,system hospitals located in 3 or more states,14706,660151,1,at least one children’s hospital but not predominantly delivering care at children’s hospitals,1,minor teaching,63347,2,church-operated,20928338160,74035041579,1,1,17818070,0906,4687,93,2175.52,1,1,1,0,1,1,1,1,1,H0809; H1234; H1500; H1846; H2235; H2936; H3322; H3493; H3668; H3908; H3919; H4074; H5126; H5493; H6551; H6910; H7322; H8961; H9827; H9842
8,US,HSI00001526,Advocate Health,Charlotte,NC,North Carolina,10307,,,1641,58,,3,system hospitals located in 3 or more states,10528,489873,0,no children’s hospitals,1,minor teaching,0,1,nonprofit,19729805898,73643103121,1,1,,,3789,53,1925.84,1,1,1,0,1,1,1,0,1,
9,US,HSI00000852,Providence,Renton,WA,Washington,13203,1766,1258,1164,54,21,3,system hospitals located in 3 or more states,9511,416088,1,at least one children’s hospital but not predominantly delivering care at children’s hospitals,1,minor teaching,65337,2,church-operated,17576517123,66373584152,1,1,17773964,1006,4693,50,503.4,1,0,1,0,1,1,1,1,1,H3809; H5007; H9047
10,US,HSI00001148,Universal Health Services,Norristown,PA,Pennsylvania,2134,1063,436,222,161,1,3,system hospitals located in 3 or more states,5792,295983,0,no children’s hospitals,1,minor teaching,25476,5,for-profit/investor owned,6765862781,64211177020,1,1,17774130,9555,619,28,764.73,1,1,1,1,1,1,0,0,0,H5945; H7680
11,US,HSI00000010,AdventHealth,Altamonte Springs,FL,Florida,3254,1699,567,693,37,11,3,system hospitals located in 3 or more states,8041,395927,0,no children’s hospitals,1,minor teaching,0,2,church-operated,12182248964,59519700143,1,1,17773293,4165,1222,36,315.85,0,0,1,0,1,1,1,0,1,
12,US,HSI00001168,University of California Health,Oakland,CA,California,13920,1811,344,712,10,0,1,system hospitals located in one state,3427,163661,1,at least one children’s hospital but not predominantly delivering care at children’s hospitals,2,major teaching,0,3,public/government,16235329905,55475320399,1,1,17773832,6405,3937,8,2980.28,1,1,1,0,0,1,1,0,0,
13,US,HSI00001126,UPMC,Pittsburgh,PA,Pennsylvania,6896,1610,1805,1159,34,15,3,system hospitals located in 3 or more states,6047,245973,1,at least one children’s hospital but not predominantly delivering care at children’s hospitals,2,major teaching,201808,1,nonprofit,9961436266,51456930085,1,1,17773516,0137,2212,32,1769.53,1,1,1,0,0,1,1,1,1,H3907; H3917; H4279; H5533; H7123
14,US,HSI00000767,Northwell Health,New Hyde Park,NY,New York,9631,1714,1867,773,18,7,1,system hospitals located in one state,5287,300355,0,no children’s hospitals,2,major teaching,0,1,nonprofit,12260733531,48202984817,1,1,17773329,0062,2889,17,2558.91,1,1,1,0,0,1,1,1,1,
15,US,HSI00001428,Bon Secours Mercy Health,Cincinnati,OH,Ohio,3626,1491,641,1000,37,4,3,system hospitals located in 3 or more states,6053,295922,0,no children’s hospitals,1,minor teaching,0,2,church-operated,8900565452,41989482064,1,1,18155713,5085,1356,36,511.3,1,0,1,0,1,1,0,0,0,
16,US,HSI00001078,Cleveland Clinic,Cleveland,OH,Ohio,5737,2215,1048,476,20,1,2,system hospitals located in two states,5106,232291,0,no children’s hospitals,2,major teaching,0,1,nonprofit,11576550403,39455850350,1,1,17773973,0212,1570,17,1331.05,1,1,1,0,1,1,1,0,1,
17,US,HSI00001033,Stanford Health Care,Stanford,CA,California,3789,757,390,238,3,0,1,system hospitals located in one state,1169,50809,1,at least one children’s hospital but not predominantly delivering care at children’s hospitals,2,major teaching,0,1,nonprofit,8757608979,39240718592,1,1,17779642,0156,918,3,990.28,1,1,0,0,0,1,1,0,0,
18,US,HSI00000717,NYU Langone Health,New York,NY,New York,4171,834,731,383,5,0,1,system hospitals located in one state,1746,98925,0,no children’s hospitals,2,major teaching,0,1,nonprofit,6870871844,38545888970,1,0,18135006,,854,4,1354.32,1,1,0,0,0,1,1,1,1,
19,US,HSI00000731,New York Presbyterian Healthcare System,New York,NY,New York,6580,1213,1197,523,8,1,1,system hospitals located in one state,3970,172665,0,no children’s hospitals,2,major teaching,0,1,nonprofit,9678041598,35597600097,1,1,17773814,0142,1462,7,2193.1,1,1,1,0,1,0,0,0,0,
20,US,HSI00000820,University of Pennsylvania Health System,Philadelphia,PA,Pennsylvania,4244,1418,703,422,9,0,2,system hospitals located in two states,2915,147032,0,no children’s hospitals,2,major teaching,0,1,nonprofit,6964491687,35218283836,1,1,17773347,0168,1054,6,1212.44,1,1,1,0,0,1,0,0,0,
21,US,HSI00000190,Cedars Sinai Health System,West Hollywood,CA,California,2233,320,187,208,4,1,1,system hospitals located in one state,1978,105322,0,no children’s hospitals,1,minor teaching,0,1,nonprofit,5323060567,33574921788,1,1,17773789,0984,613,4,437.54,1,0,0,0,1,1,0,0,0,
22,US,HSI00000584,Lifepoint Health,Brentwood,TN,Tennessee,2979,1227,523,731,76,12,3,system hospitals located in 3 or more states,6013,196650,0,no children’s hospitals,1,minor teaching,0,5,for-profit/investor owned,6859558352,31326824886,1,1,17773643,0180,1066,62,291.28,1,0,1,0,1,1,1,1,1,
23,US,HSI00000152,Christus Health,Irving,TX,Texas,1829,815,266,282,32,1,3,system hospitals located in 3 or more states,3902,171222,1,at least one children’s hospital but not predominantly delivering care at children’s hospitals,1,minor teaching,4887,2,church-operated,5580755101,30844307348,1,1,17774085,0192,665,26,219.66,1,0,1,0,1,1,1,0,1,H1189
24,US,HSI00001081,Houston Methodist,Houston,TX,Texas,1750,519,134,219,8,1,1,system hospitals located in one state,2629,134936,0,no children’s hospitals,1,minor teaching,0,1,nonprofit,5685580023,30698656028,1,1,17773831,7235,397,7,305.23,1,0,0,0,1,0,0,0,0,
25,US,HSI00000073,Banner Health,Phoenix,AZ,Arizona,3970,1044,596,416,33,1,3,system hospitals located in 3 or more states,5189,236148,0,no children’s hospitals,1,minor teaching,18012,1,nonprofit,9768177578,28901713414,1,1,17847448,0194,1419,29,888.84,1,1,1,0,1,1,1,1,1,H4931; H5843; H7273
26,US,HSI00000863,RWJBarnabas Health,West Orange,NJ,New Jersey,2390,856,444,335,16,3,1,system hospitals located in one state,3972,194847,1,at least one children’s hospital but not predominantly delivering care at children’s hospitals,1,minor teaching,27871,1,nonprofit,6100048274,28638508539,1,1,17773496,0994,643,14,919.32,1,0,1,1,1,1,1,0,0,H0885; H4675
27,US,HSI00001021,Corewell Health,Grand Rapids,MI,Michigan,4198,1179,1103,506,24,9,1,system hospitals located in one state,4689,221419,0,no children’s hospitals,2,major teaching,227137,1,nonprofit,8093441435,28487988952,1,1,17773827,1094,1484,23,1250.55,1,1,1,0,1,1,1,1,1,H0390; H2320; H4875; H8379
28,US,HSI00000813,Mass General Brigham,Boston,MA,Massachusetts,9127,2038,1194,605,15,2,2,system hospitals located in two states,2715,138403,0,no children’s hospitals,2,major teaching,0,1,nonprofit,8668452698,28340164902,1,1,17773821,1785,2443,9,1398,1,1,0,0,1,1,1,1,1,
29,US,HSI00001050,Sutter Health,Sacramento,CA,California,7400,655,598,693,27,1,2,system hospitals located in two states,3543,171024,0,no children’s hospitals,1,minor teaching,376,1,nonprofit,8404850576,27505910459,1,1,17774118,8795,2779,22,153.15,1,0,1,0,1,,,,,H5406
30,US,HSI00000770,Northwestern Medicine,Chicago,IL,Illinois,3231,737,425,329,10,0,1,system hospitals located in one state,2252,129368,0,no children’s hospitals,2,major teaching,0,1,nonprofit,5599144466,26797671337,1,1,17773816,0024,987,9,695.25,1,1,0,0,0,0,0,0,0,
31,US,HSI00000796,Orlando Health,Orlando,FL,Florida,1691,650,212,286,5,3,1,system hospitals located in one state,2440,149478,0,no children’s hospitals,1,minor teaching,0,1,nonprofit,4064110622,26347810275,1,1,17773654,3355,586,5,321.49,0,0,1,0,1,0,0,0,0,
32,US,HSI00000096,Baylor Scott and White Health,Dallas,TX,Texas,3889,1079,622,553,31,1,1,system hospitals located in one state,3991,195366,1,at least one children’s hospital but not predominantly delivering care at children’s hospitals,1,minor teaching,28031,1,nonprofit,7268801459,26244667460,1,1,18387777,0918,1542,25,673.72,1,1,0,0,1,1,1,1,1,H2032; H8142
33,US,HSI00000516,Intermountain Healthcare,Salt Lake City,UT,Utah,3685,1106,747,558,33,1,3,system hospitals located in 3 or more states,3950,195913,1,at least one children’s hospital but not predominantly delivering care at children’s hospitals,1,minor teaching,44095,1,nonprofit,8976687106,26131564302,1,1,17774098,1815,1459,31,413.55,1,0,0,0,1,1,1,1,1,H1994
34,US,HSI00000654,Memorial Hermann Healthcare System,Houston,TX,Texas,1273,553,188,222,10,2,1,system hospitals located in one state,3537,182064,0,no children’s hospitals,1,minor teaching,6257,1,nonprofit,5980789574,25608258683,1,1,17773646,2645,490,6,671.39,1,0,1,1,1,1,1,0,0,H7115
35,US,HSI00001169,University of Colorado Health,Aurora,CO,Colorado,3889,889,861,341,12,0,2,system hospitals located in two states,1808,94477,0,no children’s hospitals,2,major teaching,0,1,nonprofit,5450755925,24610359447,1,1,18956754,0381,1270,12,496.26,1,1,1,0,1,0,0,0,0,
